OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
M,wcharm,down,5,0.0,2.5,50,70,-1,1,0.9216880000000001
M,wcharm,down,5,0.0,2.5,70,100,-1,1,0.886116
M,wcharm,down,5,0.0,2.5,100,130,-1,1,0.8178379999999998
M,wcharm,down,5,0.0,2.5,130,160,-1,1,0.681168
M,wcharm,down,5,0.0,2.5,160,250,-1,1,0.550759
M,wcharm,up,5,0.0,2.5,25,30,-1,1,1.045144
M,wcharm,up,5,0.0,2.5,30,50,-1,1,1.0288629999999999
M,wcharm,up,5,0.0,2.5,50,70,-1,1,1.057564
M,wcharm,up,5,0.0,2.5,70,100,-1,1,1.071328
M,wcharm,up,5,0.0,2.5,100,130,-1,1,1.189274
M,wcharm,up,5,0.0,2.5,130,160,-1,1,1.374568
M,wcharm,up,5,0.0,2.5,160,250,-1,1,1.602019
T,wcharm,central,5,0.0,2.5,25,30,-1,1,0.922056
T,wcharm,central,5,0.0,2.5,30,50,-1,1,0.94775
T,wcharm,central,5,0.0,2.5,50,70,-1,1,0.981178
T,wcharm,central,5,0.0,2.5,70,100,-1,1,0.946742
T,wcharm,central,5,0.0,2.5,100,130,-1,1,0.981483
T,wcharm,central,5,0.0,2.5,130,160,-1,1,1.034465
T,wcharm,central,5,0.0,2.5,160,250,-1,1,0.897954
T,wcharm,down,5,0.0,2.5,25,30,-1,1,0.810922
T,wcharm,down,5,0.0,2.5,30,50,-1,1,0.88314
T,wcharm,down,5,0.0,2.5,50,70,-1,1,0.898956
T,wcharm,down,5,0.0,2.5,70,100,-1,1,0.84827
T,wcharm,down,5,0.0,2.5,100,130,-1,1,0.776443
T,wcharm,down,5,0.0,2.5,130,160,-1,1,0.639507
T,wcharm,down,5,0.0,2.5,160,250,-1,1,0.40952400000000005
T,wcharm,up,5,0.0,2.5,25,30,-1,1,1.03319
T,wcharm,up,5,0.0,2.5,30,50,-1,1,1.01236
T,wcharm,up,5,0.0,2.5,50,70,-1,1,1.0634
T,wcharm,up,5,0.0,2.5,70,100,-1,1,1.045214
T,wcharm,up,5,0.0,2.5,100,130,-1,1,1.186523
T,wcharm,up,5,0.0,2.5,130,160,-1,1,1.4294229999999999
T,wcharm,up,5,0.0,2.5,160,250,-1,1,1.386384
L,incl,central,0,0.0,2.5,20,1000,0,1,1.02217+-12.965/x+-57.6091/(x*x)+1196.9/((x--20.0171)*(x--20.0171)) 
L,incl,down,0,0.0,2.5,20,1000,0,1,(1.02217+-12.965/x+-57.6091/(x*x)+1196.9/((x- -20.0171)*(x- -20.0171)))*(1-(0.0304923+2.26695e-08*x+-2.44623e-10*x*x)) 
L,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(1.02217+-12.965/x+-57.6091/(x*x)+1196.9/((x- -20.0171)*(x- -20.0171)))*(1-(0.0283238+-7.00791e-10*x+-2.04326e-10*x*x)) 
L,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.02217+-12.965/x+-57.6091/(x*x)+1196.9/((x- -20.0171)*(x- -20.0171)))*(1-(0.0112834)) 
L,incl,up,0,0.0,2.5,20,1000,0,1,(1.02217+-12.965/x+-57.6091/(x*x)+1196.9/((x- -20.0171)*(x- -20.0171)))*(1+(0.0304923+2.26695e-08*x+-2.44623e-10*x*x)) 
L,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(1.02217+-12.965/x+-57.6091/(x*x)+1196.9/((x- -20.0171)*(x- -20.0171)))*(1+(0.0283238+-7.00791e-10*x+-2.04326e-10*x*x)) 
