OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,incl,down,0,0.0,2.5,20,1000,0,1,(1.05312+-0.000181861*x+1.44923e-07*x*x+-1.41063/x)*(1-(0.0289241+-7.86151e-07*x+4.86818e-10*x*x)) 
L,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(1.05312+-0.000181861*x+1.44923e-07*x*x+-1.41063/x)*(1-(0.0285541+-7.789e-07*x+4.8577e-10*x*x)) 
L,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.05312+-0.000181861*x+1.44923e-07*x*x+-1.41063/x)*(1-(0.00457775)) 
L,incl,up,0,0.0,2.5,20,1000,0,1,(1.05312+-0.000181861*x+1.44923e-07*x*x+-1.41063/x)*(1+(0.0289241+-7.86151e-07*x+4.86818e-10*x*x)) 
L,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(1.05312+-0.000181861*x+1.44923e-07*x*x+-1.41063/x)*(1+(0.0285541+-7.789e-07*x+4.8577e-10*x*x)) 
L,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.05312+-0.000181861*x+1.44923e-07*x*x+-1.41063/x)*(1+(0.00457775)) 
M,incl,central,0,0.0,2.5,20,1000,0,1,1.26232+-0.000375265*x+1.96879e-07*x*x+-1.05335/x 
M,incl,down,0,0.0,2.5,20,1000,0,1,(1.26232+-0.000375265*x+1.96879e-07*x*x+-1.05335/x)*(1-(0.0870733+4.30455e-06*x+-1.06911e-08*x*x)) 
M,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(1.26232+-0.000375265*x+1.96879e-07*x*x+-1.05335/x)*(1-(0.0814075+4.19199e-06*x+-1.09966e-08*x*x)) 
M,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.26232+-0.000375265*x+1.96879e-07*x*x+-1.05335/x)*(1-(0.0310689)) 
M,incl,up,0,0.0,2.5,20,1000,0,1,(1.26232+-0.000375265*x+1.96879e-07*x*x+-1.05335/x)*(1+(0.0870733+4.30455e-06*x+-1.06911e-08*x*x)) 
M,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(1.26232+-0.000375265*x+1.96879e-07*x*x+-1.05335/x)*(1+(0.0814075+4.19199e-06*x+-1.09966e-08*x*x)) 
M,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.26232+-0.000375265*x+1.96879e-07*x*x+-1.05335/x)*(1+(0.0310689)) 
T,incl,central,0,0.0,2.5,20,1000,0,1,1.17856+-0.00124081*x+7.94877e-07*x*x+-10.5641/x 
T,incl,down,0,0.0,2.5,20,1000,0,1,(1.17856+-0.00124081*x+7.94877e-07*x*x+-10.5641/x)*(1-(0.193428+0.000128445*x+-1.75534e-07*x*x)) 
T,incl,down_correlated,0,0.0,2.5,20,1000,0,1,(1.17856+-0.00124081*x+7.94877e-07*x*x+-10.5641/x)*(1-(0.16019+0.000151662*x+-2.05337e-07*x*x)) 
T,incl,down_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.17856+-0.00124081*x+7.94877e-07*x*x+-10.5641/x)*(1-(0.108618)) 
T,incl,up,0,0.0,2.5,20,1000,0,1,(1.17856+-0.00124081*x+7.94877e-07*x*x+-10.5641/x)*(1+(0.193428+0.000128445*x+-1.75534e-07*x*x)) 
T,incl,up_correlated,0,0.0,2.5,20,1000,0,1,(1.17856+-0.00124081*x+7.94877e-07*x*x+-10.5641/x)*(1+(0.16019+0.000151662*x+-2.05337e-07*x*x)) 
T,incl,up_uncorrelated,0,0.0,2.5,20,1000,0,1,(1.17856+-0.00124081*x+7.94877e-07*x*x+-10.5641/x)*(1+(0.108618)) 
